elan_id,marka,model,buraxilis_ili,muherrik_hecmi,yurus_km,yanacaq,suretler_qutusu,ban_novu,reng,seher,vuruq,rengelenib,sahib_sayi,elan_tarixi,qiymet_azn
100195,Nissan,Qashqai,2000,1.8,485541 km,Dizel,Avtomat,Kupe,Qara,Gəncə,Xeyr,Xeyr,1,2026-01-16,"2,354"
100819,LADA,Niva,2014,1.5,251982,Dizel,Variator,Sedan,Qəhvəyi,Mingəçevir,xeyr,yoxdur,1,20/02/2026,4199
100179,LADA,Priora,1998,1.6,341627,Benzin,Variator,Universal,Qırmızı,Bakı,Bəli,Xeyr,,2026-04-06,2200
100252,LADA,Priora,2018,1.7,154358 km,Dizel,Robot,Offroader,Gümüşü,Mingəçevir,Xeyr,Xeyr,2,2026-05-10,9 997
100121,Opel,Zafira,2013,3.0,247203,Dizel,Avtomat,Hetçbek,Mavi,Bakı,Xeyr,Xeyr,1,2026-08-12,11449
100866,BMW,730,2011,3.0,236614,Benzin,Avtomat,,Gümüşü,Gəncə,Xeyr,Bəli,2,2026-02-15,14869
100834,Kia,Sorento,2006,1.8,372451,Benzin,Mexaniki,Sedan,Qara,Mingəçevir,Xeyr,Xeyr,2,2026-03-06,3485
100478,Opel,Astra,2006,4.0,257647,Benzin,Avtomat,Hetçbek,Boz,BAKI,Xeyr,Xeyr,2,2026-08-20,5145
100735,BMW,X5,2011,1.8,282903 km,Qaz,Variator,Hetçbek,Boz,Sumqayıt,Xeyr,Xeyr,3,2026-01-08,10600
100531,Nissan,Juke,2015,2.5,128434,Benzin,Mexaniki,Offroader,Boz,Bakı,Xeyr,Bəli,,2026-08-16,17464
100674,LADA,Granta,2014,1.7,242320,Benzin,Variator,Sedan,Ağ,Sumqayıt,Xeyr,Xeyr,2,2026-07-28,4415 AZN
100126,lada,2107,2009,1.6,408387 km,Hibrid,Mexaniki,Sedan,Qırmızı,salyan,Xeyr,Bəli,2,2026-02-24,2236
100203,Kia,Cerato,2009,3.5,244382,Benzin,Avtomat,Sedan,Qırmızı,  Bakı ,Bəli,Xeyr,3,2026-02-10,8052
100837,Ford,Kuga,2010,1.8,238368,Benzin,Mexaniki,Offroader,Mavi,Bakı,bəli,yoxdur,3,2026-05-21,6224 AZN
100583,LADA,Priora,2007,1.5,292566,Benzin,Avtomat,Hetçbek,Qara,Şirvan,Bəli,,1,2026-04-05,2 200
100146,Hyundai,Tucson,2009,2.5,283693,Benzin,Mexaniki,Hetçbek,Mavi,Quba,Xeyr,Xeyr,2,2026-02-07,6492
100128,BMW,730,2023,1.6,27931 km,Benzin,Variator,Universal,Qəhvəyi,Sumqayıt,Xeyr,,1,2026-07-16,"44,103"
100906,Opel,Vectra,2016,0.0,126946 km,Elektro,Mexaniki,Sedan,Ağ,Bakı,Xeyr,Bəli,1,2026-02-25,16970
100994,Opel,Insignia,2013,2.0,204664,Dizel,Avtomat,Sedan,Ağ,Lənkəran ,Xeyr,Xeyr,1,2026-02-28,7 984
100105,BMW,X5,2014,2.0,136525,Benzin,Avtomat,Sedan,,GƏNCƏ,Xeyr,Xeyr,3,21.06.2026,17263
100335,Nissan,Qashqai,1999,4.0,363915,Benzin,Mexaniki,Universal,Qəhvəyi,Naxçıvan,Xeyr,Xeyr,2,26.08.2026,2846
100980,Hyundai,Santa Fe,2008,2.4,253026 km,Benzin,Mexaniki,Hetçbek,Qırmızı,Bakı,Xeyr,Xeyr,3,05/03/2026,7078
100437,Mercedes,E 200,2017,2.5,100452,Benzin,Mexaniki,Sedan,,şirvan,Xeyr,Xeyr,2,17.03.2026,"28,501"
100796,Toyota,Yaris,2013,1.5,223161,Benzin,Mexaniki,Furqon,Mavi,Gəncə,Xeyr,Xeyr,,2026-01-06,10623
100526,Hyundai,Elantra,2009,1.5,291585 km,Benzin,Mexaniki,Sedan,,Bakı,XEYR,var,1,2026-02-20,4483
100417,Toyota,RAV4,2013,1.8,202306 km,Benzin,Mexaniki,Offroader,Boz,  Şirvan ,Xeyr,Xeyr,1,2026-06-23,16297 AZN
100006,Hyundai,Elantra,2006,3.5,332821 km,Qaz,Avtomat,Offroader,Yaşıl,NAXÇIVAN,Xeyr,Xeyr,1,18/05/2026,7 359
100691,Nissan,Juke,2020,2.0,55395,Benzin,Avtomat,Sedan,Ağ,Salyan,XEYR,BƏLİ,,2026-03-04,26265
100857,HYUNDAI,Santa Fe,2025,1.8,0,Benzin,Mexaniki,Universal,Yaşıl,Mingəçevir,yoxdur,bəli,3,2026-04-05,38907 AZN
100273,Hyundai,Santa Fe,2006,0.0,286582,Elektro,Avtomat,Hetçbek,Mavi,Bakı,Bəli,Xeyr,3,09/05/2026,4847
100560,Ford,Transit,2011,,245880,Hibrid,Variator,Sedan,,Bakı,BƏLİ,XEYR,,2026-02-01,8837 AZN
100322,LADA,Granta,2005,1.5,285034 km,Benzin,Variator,Offroader,Yaşıl,Mingəçevir,Xeyr,Xeyr,2,2026-04-20,2200
100887,Hyundai,Accent,2003,4.0,297778,Hibrid,Robot,Sedan,Boz,Bakı,Xeyr,Xeyr,1,2026-02-16,5490 AZN
100838,Kia,Rio,2014,2.0,214186,Dizel,Avtomat,Hetçbek,Yaşıl,Sumqayıt,Bəli,Xeyr,1,29.01.2026,9575
100587,BMW,730,2007,,343021,Benzin,Variator,Sedan,,Bakı,Xeyr,Bəli,4+,2026-05-17,5080
100464,Hyundai,Accent,2004,2.0,375796,Dizel,Avtomat,Sedan,Mavi,Bakı,Xeyr,Bəli,3,2026-08-26,"3,448"
100602,Kia,Optima,2012,2.0,250575,Benzin,Avtomat,Hetçbek,Gümüşü,  Bakı ,XEYR,xeyr,3,2026-01-29,10104
100509, Mercedes,E 200,2017,3.0,245352,Benzin,Avtomat,Hetçbek,Mavi,GƏNCƏ,Bəli,Bəli,,2026-03-24,999999
100609,Kia,Sportage,2008,1.5,272745,Dizel,Avtomat,Sedan,Mavi,Mingəçevir,Xeyr,Xeyr,,2026-05-30,"5,181"
100222,BMW,116,2016,2.0,9999999,Benzin,Avtomat,Offroader,Boz,  Bakı ,Bəli,Xeyr,2,06/04/2026,24792
100099,BMW,X5,2007,1.5,367859,Dizel,Avtomat,Sedan,Qəhvəyi,GƏNCƏ,Xeyr,Xeyr,1,2026-04-20,5 581
100446,Ford,Kuga,2018,3.5,150716 km,Benzin,Mexaniki,Hetçbek,Qəhvəyi,BAKI,Xeyr,Bəli,3,2026-08-28,22842
100849,BMW,520,2009,4.0,273512,Dizel,Mexaniki,Sedan,Qəhvəyi,Şəki,XEYR,xeyr,4+,2026-06-10,13286
100833,Kia,Cerato,2018,3.0,53408 km,Dizel,Avtomat,Offroader,Qırmızı,Bakı,Xeyr,Xeyr,2,2026-05-03,35178
100968,toyota,Corolla,2011,1.4,229247 km,Benzin,Avtomat,Offroader,Gümüşü,Bakı,Xeyr,Xeyr,3,27/04/2026,11694
100476,BMW,520,2002,3.5,396572,Benzin,Mexaniki,Sedan,Ağ,Bakı,Xeyr,Xeyr,2,2026-08-11,4761
100956,LADA,Niva,2012,1.5,255394 km,Benzin,Variator,Offroader,Qəhvəyi,Gəncə,Xeyr,Xeyr,1,2026-04-03,3931
100420,Ford,Kuga,2002,1.8,394315,Benzin,Variator,Offroader,Mavi,Bakı,Bəli,Bəli,1,2026-08-23,2200
100170,Hyundai,Sonata,2013,2.4,280516,Benzin,Mexaniki,Offroader,Gümüşü,Gəncə,yoxdur,xeyr,1,2026-01-14,12666
100979,Ford,Transit,2013,3.0,5,Benzin,Mexaniki,Offroader,Qırmızı,LƏNKƏRAN,XEYR,xeyr,3,2026-03-11,12660
100872,Nissan,Qashqai,2012,1.4,239184,Hibrid,Avtomat,Sedan,Ağ,Lənkəran,xeyr,XEYR,,2026-05-11,12 077
100097,Kia,Sportage,2020,2.4,152189,Benzin,Variator,Sedan,Ağ,  Bakı ,Xeyr,Bəli,1,2026-01-10,21237 AZN
100300,Toyota,Prado,2011,4.0,326195 km,Benzin,Mexaniki,Sedan,Mavi,GƏNCƏ,Bəli,Xeyr,1,11/08/2026,8589 AZN
100384,Opel,Vectra,2021,4.0,9846,Benzin,Variator,Sedan,Gümüşü,Bakı,Xeyr,,3,2026-01-29,32437
100315,Kia,Sorento,2004,1.5,374425 km,Dizel,Avtomat,Furqon,Ağ,Bakı,Xeyr,Bəli,3,01/03/2026,2200
100413,BMW,X5,2005,2.0,363308 km,Benzin,Mexaniki,Sedan,,Bakı,yoxdur,bəli,,2026-02-14,4302 AZN
100937,hyundai,Accent,1998,3.5,462168 km,Benzin,Avtomat,Offroader,Qəhvəyi,gəncə,Xeyr,Xeyr,4+,2026-03-31,2670
100578,kia,Rio,2007,3.5,407956,Benzin,Mexaniki,Offroader,Yaşıl,Bakı,Xeyr,Xeyr,2,2026-08-28,7015
100206,LADA,Vesta,2009,1.5,248884,Dizel,Avtomat,Sedan,Mavi,Bakı,Xeyr,Bəli,1,2026-05-15,2200
100609,Kia,Sportage,2008,1.5,272745,Dizel,Avtomat,Sedan,Mavi,Mingəçevir,Xeyr,Xeyr,,2026-05-30,"5,181"
100800,Chevrolet,Aveo,2017,1.4,139905,Benzin,Mexaniki,Offroader,Qəhvəyi,bakı,Xeyr,Xeyr,1,2026-07-12,17 851
100544,BMW,730,2002,1.4,340461 km,Benzin,Robot,Sedan,Qırmızı,Sumqayıt,Xeyr,Bəli,4+,2026-04-16,"3,348"
100845,LADA,Granta,2014,1.5,144306 km,Benzin,Robot,Hetçbek,Mavi,Naxçıvan,Bəli,Xeyr,3,10.06.2026,3467 AZN
100647, Opel,Corsa,2009,3.5,284123 km,Dizel,Mexaniki,Sedan,Gümüşü,Bakı ,Bəli,Bəli,3,2026-03-23,4 750
100503,Ford,Kuga,2011,3.0,219283 km,Benzin,Robot,Sedan,Yaşıl,Bakı,Xeyr,Xeyr,1,26/01/2026,8347
100810,Opel,Corsa,2016,1.8,153022 km,Benzin,Mexaniki,Hetçbek,,bakı,Xeyr,,2,2026-05-04,11157
100483,Opel,Vectra,2013,2.0,214044,Benzin,Avtomat,Sedan,Qəhvəyi,Bakı,Xeyr,Bəli,1,2026-01-13,7531
100676,Toyota,Camry,2014,3.5,140541,Dizel,Avtomat,Universal,Qara,Bakı,BƏLİ,xeyr,,2026-04-26,"17,723"
100451,Opel,Insignia,2007,1.5,324720,Dizel,Avtomat,Offroader,Yaşıl,Lənkəran,XEYR,bəli,1,2026-02-24,3671
100196,Kia,Optima,2006,2.0,307217,Qaz,Robot,Sedan,Mavi,Bakı,Xeyr,Xeyr,1,2026-05-30,"4,223"
100931,Chevrolet,Aveo,2010,3.5,230800,Benzin,Avtomat,Hetçbek,Qəhvəyi,Sumqayıt,Xeyr,Bəli,1,2026-02-05,7889
100625,Opel,Astra,2016,1.6,,Benzin,Avtomat,Hetçbek,Qəhvəyi,lənkəran,Xeyr,Xeyr,3,24/03/2026,10900
100756,Opel,Vectra,2005,2.5,319922,Benzin,Avtomat,Sedan,Qara,Bərdə,XEYR,var,1,2026-04-28,2985 AZN
100598,Nissan,Qashqai,2013,1.6,299984,Dizel,Robot,Offroader,Boz,Bakı,Xeyr,Xeyr,1,07.05.2026,9841
100989,Nissan,Juke,2008,1.8,358106,Benzin,Avtomat,Sedan,Ağ,Bakı,bəli,XEYR,1,2026-06-18,4417
100510,Hyundai,Accent,2022,2.0,67316,Benzin,Mexaniki,,Ağ,gəncə,Xeyr,Xeyr,1,2026-06-28,"40,334"
100157,BMW,320,2005,2.5,306482,Benzin,Avtomat,Offroader,Mavi,Naxçıvan,Xeyr,Xeyr,3,2026-05-24,8 601
100067, Opel,Zafira,2016,2.0,186904 km,Benzin,Mexaniki,Sedan,Yaşıl,Salyan,Xeyr,Xeyr,3,2026-05-18,"10,208"
100704,LADA,Vesta,2006,1.5,387602 km,Benzin,Avtomat,Offroader,,Bakı,Xeyr,Bəli,,2026-02-18,2200
100844,Toyota,RAV4,2003,3.5,322254,Hibrid,Avtomat,Sedan,Qırmızı,Şirvan,Xeyr,Xeyr,1,2026-06-10,5718
100166, Kia,Rio,2008,1.5,296871,Benzin,Avtomat,Sedan,,Xaçmaz,Xeyr,Xeyr,2,2026-04-20,5085
100830, Kia,Rio,2001,1.8,,Qaz,Mexaniki,Sedan,Yaşıl,Lənkəran,Xeyr,Xeyr,2,2026-07-27,2200 AZN
100973,Toyota,Camry,2019,1.5,114814,Benzin,Avtomat,Offroader,Yaşıl,Bakı,Xeyr,Bəli,2,2026-08-11,25563
100990,Opel,Zafira,2011,2.0,214889,Dizel,Mexaniki,Offroader,Gümüşü,Bakı,Xeyr,Bəli,2,2026-03-27,7280
100217,Opel,Insignia,2019,2.5,105373,Qaz,Avtomat,Offroader,Gümüşü,Bakı,Xeyr,Xeyr,4+,2026-07-26,26807 AZN
100456,Kia,Rio,2017,2.0,228080,Benzin,Avtomat,Offroader,Mavi,Bakı,xeyr,xeyr,2,2026-07-22,21088
100768,Hyundai,Elantra,2008,3.0,355047 km,Benzin,Avtomat,Offroader,Qara,Gəncə,Xeyr,,1,2026-02-17,8 783
100214,BMW,X5,1997,1.5,599358 km,Benzin,Mexaniki,Offroader,Boz,bakı,Xeyr,Xeyr,4+,30/01/2026,2200
100228,opel,Zafira,2018,,150056,Dizel,Variator,Offroader,Boz,bakı,Xeyr,Bəli,3,03/06/2026,18712
100540,BMW,320,2020,2.4,121982,Benzin,Avtomat,Offroader,Qara,Bakı,Xeyr,Xeyr,1,11.04.2026,54272
100350,LADA,2107,2008,1.5,315793 km,Benzin,Variator,Sedan,Qırmızı,Gəncə,Xeyr,Xeyr,3,2026-04-27,"2,200"
100298,Hyundai,Accent,2005,1.6,334289 km,Hibrid,Mexaniki,Hetçbek,Qırmızı,Lənkəran ,Xeyr,Bəli,1,2026-07-09,4086
100999,Chevrolet,Aveo,2022,1.5,71817,Benzin,Mexaniki,Offroader,Qara,Bakı,Xeyr,Bəli,1,15.02.2026,24794 AZN
100392,Nissan,Juke,2011,4.0,0,Qaz,Avtomat,Hetçbek,Boz,Xaçmaz,Xeyr,Xeyr,2,2026-08-24,12655
100211,Kia,Cerato,2009,2.4,330329,Qaz,Mexaniki,Offroader,Gümüşü,Bakı,Xeyr,Xeyr,1,2026-01-27,6456
100035,Hyundai,Santa Fe,2017,1.8,117169,Benzin,Avtomat,Offroader,Yaşıl,Mingəçevir,Bəli,Bəli,,21/08/2026,16625
100621,LADA,Niva,2018,1.5,,Qaz,Mexaniki,Sedan,Qəhvəyi,Bakı,Xeyr,Xeyr,2,2026-07-31,5722
100352,Toyota,Camry,2013,1.5,181534,Benzin,Variator,Offroader,Qara,BAKI,Xeyr,Bəli,4+,05.06.2026,12854
100271,Opel,Vectra,1997,1.8,508780,Dizel,Avtomat,Sedan,Mavi,NAXÇIVAN,xeyr,XEYR,1,2026-02-14,2 200
100499,Opel,Zafira,2019,1.8,149136,Benzin,Avtomat,Sedan,Ağ,Bakı,Xeyr,Xeyr,4+,2026-05-02,18974
100851,Hyundai,Tucson,2009,,275884,Benzin,Mexaniki,Offroader,Gümüşü,Bakı,Xeyr,Xeyr,1,2026-03-31,1
100971,Ford,Focus,2013,2.4,192904,Benzin,Avtomat,Hetçbek,Boz,Bakı,Xeyr,Xeyr,3,2026-07-11,12677
100410,Kia,Sorento,2014,3.0,127891 km,Qaz,Avtomat,Sedan,Qara,Bakı,Bəli,Xeyr,1,2026-01-20,10868
100474,Toyota,Corolla,2012,1.4,198095 km,Benzin,Avtomat,Sedan,Qəhvəyi,Sumqayıt,Xeyr,Xeyr,1,2026-05-09,9984
100831,Ford,Fusion,2009,1.5,291527,Benzin,Avtomat,Sedan,Qırmızı,  Gəncə ,Xeyr,Xeyr,1,2026-07-08,5 625
100514,BMW,520,2014,3.5,201485 km,Dizel,Mexaniki,Sedan,Gümüşü,Mingəçevir,Xeyr,Bəli,3,2026-07-06,1234567
100953,Nissan,Sunny,2007,2.4,308943 km,Benzin,Mexaniki,Hetçbek,,bakı,Xeyr,Bəli,2,29/04/2026,4666
100163,OPEL,Corsa,2012,2.0,213369 km,Benzin,Robot,Sedan,Boz,Sumqayıt,XEYR,yoxdur,,2026-06-23,"8,328"
100044,LADA,Niva,2010,1.6,277436 km,Benzin,Avtomat,Sedan,Boz,BAKI,Xeyr,Xeyr,2,17.02.2026,3154 AZN
100620,Mercedes,E 200,2016,4.0,177355 km,Hibrid,Avtomat,Hetçbek,Qırmızı,Bakı,Xeyr,Xeyr,,28.01.2026,"43,639"
100389,Opel,Zafira,2014,2.4,348319 km,Dizel,Avtomat,Universal,Mavi,Bakı,Xeyr,Bəli,2,2026-01-11,7421 AZN
100952,Mercedes,S 500,2020,2.0,16014,Benzin,Avtomat,Furqon,Mavi,Quba,Xeyr,Xeyr,1,13.05.2026,1
100175,LADA,2107,2012,1.7,222466 km,Hibrid,Avtomat,Universal,,BAKI,Xeyr,Xeyr,1,2026-06-17,4460
100227,Hyundai,Tucson,2011,1.8,188804,Dizel,Avtomat,Sedan,Mavi,Gəncə,Xeyr,Xeyr,2,28/03/2026,9352
100629,Toyota,Camry,2001,1.6,476424 km,Benzin,Mexaniki,,Yaşıl,Bakı,Xeyr,Xeyr,1,11.08.2026,3034
100532,Hyundai,Sonata,2020,2.0,111744 km,Benzin,Avtomat,Hetçbek,,Bakı ,Xeyr,Xeyr,2,20.04.2026,28519 AZN
100878,Toyota,Corolla,2012,2.5,225957,Benzin,Avtomat,,Qəhvəyi,Bakı,Xeyr,Bəli,1,2026-07-26,12950
100005,Nissan,Qashqai,2013,1.6,188050,Benzin,Avtomat,Furqon,Boz,Sumqayıt,Bəli,Bəli,1,2026-03-22,6108 AZN
100570,Nissan,Patrol,2012,4.0,256627 km,Benzin,Variator,Furqon,Mavi,Bakı,Xeyr,Xeyr,3,2026-04-24,11278
100193,Kia,Sportage,2006,3.5,355879 km,Benzin,Avtomat,Kupe,Boz,Mingəçevir,Xeyr,Bəli,1,2026-01-07,6253 AZN
100025,Ford,Mondeo,2009,1.8,300191 km,Benzin,Avtomat,Sedan,Qırmızı,Bakı,Xeyr,Xeyr,3,2026-01-08,5710
100321,Chevrolet,Cruze,2009,2.4,323990 km,Benzin,Mexaniki,Offroader,Qara,Şəki,Xeyr,Xeyr,2,2026-03-01,6128
